Dataset,Experimental time (h),Raw analysis time (h),Raw frame index,Cell occupancy (%),Cell occupancy SD (%),EPS coverage (%),EPS coverage SD (%),Cells encased by EPS (%),Cells encased SD (%),Mean EPS intensity (a.u.),Mean EPS intensity SD,Integrated EPS intensity,Integrated EPS intensity SD,EPS-positive area (pixels),EPS-positive area SD (pixels),Measurement context
8-20 h,8.0,0.5,1,0.9640316466555228,0.2656349692962827,39.288009087912286,11.40203535718584,37.56560448337431,12.28866649310537,8690.749899837416,261.7222872011035,805920337.4444444,216103462.54151028,92956.0,25842.8184463305,3D chamber; 2D image analysis
8-20 h,9.09090909090909,1.0,2,0.9476016567800066,0.2397109495593414,36.020627292079084,6.501878691480068,30.46535515089994,8.948626068203637,8737.604241151095,426.62841670376605,700022072.0,163713729.8930114,80520.44444444444,20133.056108742603,3D chamber; 2D image analysis
8-20 h,10.181818181818182,1.5,3,0.949433109609426,0.22861261305752914,33.56856034016342,10.769013916892698,29.491093918874217,8.60800604593989,8752.901555762292,417.8952365846342,672799358.8888888,148577989.5111232,77339.66666666667,18918.174660891575,3D chamber; 2D image analysis
8-20 h,11.272727272727273,2.0,4,0.9810429237334204,0.2372845108528776,31.918539683190332,11.287944792862673,30.37592694812187,9.119663402397201,8787.955374980826,403.1092053978236,680751518.7777778,182663032.3266378,77844.55555555556,21923.585205841173,3D chamber; 2D image analysis
8-20 h,12.363636363636363,2.5,5,0.9975578505517504,0.23476871029294205,24.322955078470454,9.292869128033225,25.913201140495673,8.021571435390248,8775.925998233284,436.6745222927159,639280044.4444444,152486275.1153738,73286.66666666667,18946.174204836185,3D chamber; 2D image analysis
8-20 h,13.454545454545453,3.0,6,1.0312857796871602,0.27487728930872624,23.419444817196144,10.157144199488206,26.969752476032507,7.697885487839564,8819.174246625751,478.9412769744848,610807524.6666666,144278592.47217783,69614.22222222222,17642.514019958846,3D chamber; 2D image analysis
8-20 h,14.545454545454547,3.5,7,1.0968093225089692,0.28607340353356236,19.39384149193065,9.721371256602117,23.298865186786728,8.059857633223825,8820.27079210375,475.8212761146499,590379228.5555556,143441908.32635465,67180.11111111111,17091.44450773869,3D chamber; 2D image analysis
8-20 h,15.636363636363637,4.0,8,1.2185797014296587,0.3996978013943086,18.1029473581822,8.39055603797353,22.22701284507219,6.372801885599635,8883.966847540789,512.6898911995687,588405159.2222222,210810769.6138338,66315.0,23870.386690416224,3D chamber; 2D image analysis
8-20 h,16.727272727272727,4.5,9,1.3064894372417917,0.44293880866809326,16.643516516593742,8.137129041299756,17.970198895610523,6.154474690216853,8847.962925825743,598.0958118272545,545561548.8888888,178490696.48426357,61944.666666666664,21103.72102852954,3D chamber; 2D image analysis
8-20 h,17.81818181818182,5.0,10,1.3662903535415307,0.5156575810793546,13.382005368977195,7.128040904660179,14.922180387817974,7.028509640439248,8871.838012797707,552.5955450014667,531021786.6666667,203224945.33778858,59809.22222222222,22954.65104710687,3D chamber; 2D image analysis
8-20 h,18.909090909090907,5.5,11,1.2980302485934443,0.600499910331346,15.37785358415476,10.068941551250038,15.623315335886316,5.36811315218971,8774.505153788348,846.3019355615929,482166775.7777778,189544592.83096752,54285.555555555555,19286.223160011858,3D chamber; 2D image analysis
8-20 h,20.0,6.0,12,1.276082011714503,0.3908070247542673,10.312444214187146,8.993960138174172,8.794219698034468,5.3392155065543365,9012.538550997942,918.9118823201702,470637033.8888889,245521941.78956157,51097.666666666664,25141.237340274245,3D chamber; 2D image analysis
24-80 h,24.0,0.0,0,2.1536165300880628,0.8057343668614712,20.005536210807882,11.069043478665286,14.141444108557284,5.414945110339587,9655.422945657472,1265.800146311256,874584196.6,203349256.12265348,90582.2,17057.250502352366,3D chamber; 2D image analysis
24-80 h,24.636363636363637,0.5,1,2.442801339285714,0.8197863687907037,17.808976702451645,9.222992827299864,13.910189458199378,5.919452572890834,9628.773887074098,1251.6093797449448,890898984.6,187147354.28512618,92750.0,16862.418109512055,3D chamber; 2D image analysis
24-80 h,25.272727272727273,1.0,2,2.6394707069471623,0.9759318415155729,16.92283420280651,8.568931349757094,14.264474004745248,6.236427575671139,9648.175597746947,1281.143532366349,906564567.4,166737716.96913472,94452.8,16178.24898436169,3D chamber; 2D image analysis
24-80 h,25.90909090909091,1.5,3,2.8788670728351273,1.0705249909835832,16.169674313173456,7.968517046966176,14.042382948917194,5.662094075508791,9663.91379622513,1253.6673281028811,916370135.6,158675721.94886228,95356.0,15604.118254486539,3D chamber; 2D image analysis
24-80 h,26.545454545454547,2.0,4,3.2305776816291583,1.2774807914858057,15.944238474870684,7.7236311040683585,14.878575074361546,5.4127991467196175,9643.924485838204,1246.621959609287,943855433.0,146873974.02889675,98516.8,15069.97925346946,3D chamber; 2D image analysis
24-80 h,27.18181818181818,2.5,5,3.4086617844911937,1.346002006102822,15.856511969509782,8.11648375572158,15.199154743840097,6.073943821011762,9565.154529693093,1203.0711426272042,969640278.2,136043169.3034249,102036.2,14174.269476766694,3D chamber; 2D image analysis
24-80 h,27.81818181818182,3.0,6,3.593085899278376,1.2320669935188677,15.126364268053814,6.378447355683029,15.238450438133833,6.274365968346272,9515.653659526128,1200.0591426685303,1006378375.8,101445686.56444986,106760.2,14250.619572495787,3D chamber; 2D image analysis
24-80 h,28.454545454545453,3.5,7,4.015625955540607,1.6560119435158986,14.92076161620854,5.910428626901105,16.536397506774094,5.185873260636137,9533.41425962988,1163.9754821901613,1031713067.4,76451744.59754208,109184.8,12992.612273903966,3D chamber; 2D image analysis
24-80 h,29.09090909090909,4.0,8,4.31030990092955,1.8134479688694662,14.260658072947336,5.270795454059199,14.915036401422473,5.916379427696084,9534.475326671676,1091.7352080493965,1049793650.4,131557111.4428773,111323.0,20212.713734182256,3D chamber; 2D image analysis
24-80 h,29.727272727272727,4.5,9,4.887704867906066,2.0588151432511643,13.697334212058404,4.663435147365912,15.844024761007807,4.998641553553486,9499.631280709724,1068.4743542036892,1083283145.4,164873665.4788731,115527.0,25206.678004052814,3D chamber; 2D image analysis
24-80 h,30.363636363636363,5.0,10,5.362637215631115,2.385777849142711,14.079362867983425,5.223161024810196,15.491900475868135,5.84322000679228,9474.436603080307,1034.585615088426,1166083221.2,212252514.3817333,124999.2,31719.6838682229,3D chamber; 2D image analysis
24-80 h,31.0,5.5,11,5.655242860200587,2.8883852787887783,13.751579581481986,4.62116424227361,16.138724213426208,3.786307375907509,9407.420308886056,940.5250356621324,1201599348.0,250960372.83607575,129513.6,35327.25796463688,3D chamber; 2D image analysis
24-80 h,31.636363636363637,6.0,12,5.890688065680038,2.7723755742603284,14.545627444189677,4.661416166392469,16.465115251091373,5.096333357495315,9363.36069266084,873.479390652122,1273855799.0,332265462.6776724,137943.6,44120.73176863684,3D chamber; 2D image analysis
24-80 h,32.27272727272727,6.5,13,6.318598260151663,3.120203360108954,14.036800747293725,4.052753557433477,16.18568330281516,5.171122419725905,9330.601700566196,821.8667579032752,1329414520.4,406498859.36039126,144510.4,52659.09924504976,3D chamber; 2D image analysis
24-80 h,32.90909090909091,7.0,14,7.084454500978474,2.951819079745902,13.453332951934687,4.014416424343066,16.633269248844048,6.49587303631713,9309.248284934205,850.7997371687144,1397375765.8,511489688.3859153,152921.0,65868.62864444652,3D chamber; 2D image analysis
